# Address	Name
ff:ff:ff:ff:ff:ff	Broadcast
54.163.145.221	capi.grammarly.com
3.95.45.23	capi.grammarly.com
44.214.199.1	capi.grammarly.com
3.217.20.104	capi.grammarly.com
17.253.122.199	captive.g.aaplimg.com
17.253.122.196	captive.g.aaplimg.com
17.253.122.203	captive.g.aaplimg.com
17.253.122.200	captive.g.aaplimg.com
17.253.122.197	captive.g.aaplimg.com
17.253.122.204	captive.g.aaplimg.com
17.253.122.201	captive.g.aaplimg.com
17.253.122.198	captive.g.aaplimg.com
17.253.122.202	captive.g.aaplimg.com
2a01:b740:a11:f000::197	captive.g.aaplimg.com
2606:4700:4400::ac40:9262	cdn.oaistatic.com
2606:4700:4400::6812:299e	cdn.oaistatic.com
2606:4700:4400::6812:25e4	chat.openai.com
2606:4700:4400::ac40:961c	chat.openai.com
162.159.61.3	chrome.cloudflare-dns.com
2a06:98c1:52::3	chrome.cloudflare-dns.com
2a00:1450:4028:806::200e	clients4.google.com
2a00:1450:4028:806::2003	clientservices.googleapis.com
13.226.2.61	config.extension.grammarly.com
13.226.2.120	config.extension.grammarly.com
13.226.2.114	config.extension.grammarly.com
2a02:26f0:c000:282::2903	configuration.ls.apple.com
2a02:26f0:c000:288::2903	configuration.ls.apple.com
13.226.4.115	d36wza55md4dee.cloudfront.net
65.9.112.94	dvxdiz880bm14.cloudfront.net
65.9.112.81	dvxdiz880bm14.cloudfront.net
2a02:26f0:c000:288::2a1	e673.dsce9.akamaiedge.net
16.170.124.74	ec2-16-170-124-74.eu-north-1.compute.amazonaws.com
18.214.0.158	ec2-18-214-0-158.compute-1.amazonaws.com
3.217.30.202	ec2-3-217-30-202.compute-1.amazonaws.com
3.218.80.255	ec2-3-218-80-255.compute-1.amazonaws.com
3.228.121.64	ec2-3-228-121-64.compute-1.amazonaws.com
34.193.102.49	ec2-34-193-102-49.compute-1.amazonaws.com
34.198.47.89	ec2-34-198-47-89.compute-1.amazonaws.com
34.202.215.127	ec2-34-202-215-127.compute-1.amazonaws.com
34.224.235.26	ec2-34-224-235-26.compute-1.amazonaws.com
34.238.179.244	ec2-34-238-179-244.compute-1.amazonaws.com
35.170.123.182	ec2-35-170-123-182.compute-1.amazonaws.com
35.170.142.36	ec2-35-170-142-36.compute-1.amazonaws.com
44.199.35.206	ec2-44-199-35-206.compute-1.amazonaws.com
52.4.111.7	ec2-52-4-111-7.compute-1.amazonaws.com
52.7.110.180	ec2-52-7-110-180.compute-1.amazonaws.com
52.86.26.250	ec2-52-86-26-250.compute-1.amazonaws.com
54.173.149.95	ec2-54-173-149-95.compute-1.amazonaws.com
54.81.23.216	ec2-54-81-23-216.compute-1.amazonaws.com
52.73.221.219	events.launchdarkly.com
52.20.62.33	events.launchdarkly.com
3.212.128.202	events.launchdarkly.com
52.7.139.47	events.launchdarkly.com
35.170.199.79	events.launchdarkly.com
54.156.51.63	events.launchdarkly.com
18.209.243.58	events.launchdarkly.com
54.160.170.29	events.launchdarkly.com
52.201.12.96	events.launchdarkly.com
54.165.198.40	events.launchdarkly.com
52.20.211.222	events.launchdarkly.com
18.214.35.222	events.launchdarkly.com
3.208.217.119	events.launchdarkly.com
23.20.45.252	events.launchdarkly.com
54.234.239.85	events.launchdarkly.com
3.211.229.28	expressapisv2.net
3.219.6.82	expressapisv2.net
3.220.254.12	expressapisv2.net
52.21.254.213	extension.femetrics.grammarly.io
44.206.138.99	extension.femetrics.grammarly.io
44.220.2.203	extension.femetrics.grammarly.io
34.234.46.213	extension.femetrics.grammarly.io
34.193.196.109	extension.femetrics.grammarly.io
44.221.180.72	extension.femetrics.grammarly.io
54.195.83.61	fbs.smoot.apple.com
2a01:b740:a41:632::2:7	gateway.fe2.apple-dns.net
2a01:b740:a41:632::2:8	gateway.fe2.apple-dns.net
2a01:b740:a41:632::2:5	gateway.fe2.apple-dns.net
2a01:b740:a41:632::2:3	gateway.fe2.apple-dns.net
2a01:b740:a41:632::2:1	gateway.fe2.apple-dns.net
2a01:b740:a41:632::2:4	gateway.icloud.com
34.232.132.5	gnar.grammarly.com
3.220.127.238	gnar.grammarly.com
54.158.22.155	gnar.grammarly.com
44.193.90.17	gnar.grammarly.com
17.36.206.4	gs-loc.apple.com
17.57.12.242	gs-loc.apple.com
17.242.179.27	gs-loc.apple.com
17.36.206.5	gs-loc.apple.com
17.242.184.19	gs-loc.apple.com
17.252.196.22	gs-loc.apple.com
17.23.96.15	gsas.apple.com
17.32.194.22	gsas.apple.com
17.179.252.18	gsas.apple.com
17.157.64.79	gsas.apple.com
2a01:b740:a26:f000::7	gsp-ssl.ls.apple.com
10.0.0.138	home.home
b0:bb:e5:9d:53:b7	home.home
2600:1901:0:b2bd::	ifconfig.me
2a00:1450:400c:c00::6d	imap.gmail.com
2a00:1450:400c:c0c::6d	imap.gmail.com
2a00:1450:400c:c0c::6c	imap.gmail.com
2a00:1450:400c:c0b::6d	imap.gmail.com
2a00:1450:400c:c0b::6c	imap.gmail.com
2a00:1450:400c:c02::6d	imap.gmail.com
2a00:1450:400c:c04::6c	imap.gmail.com
2a00:1450:400c:c02::6c	imap.gmail.com
2a00:1450:400c:c0a::6d	imap.gmail.com
2a00:1450:400c:c00::6c	imap.gmail.com
2a00:1450:400c:c06::6d	imap.gmail.com
44.194.54.43	in.grammarly.com
52.4.14.187	in.grammarly.com
3.231.132.35	in.grammarly.com
34.236.26.182	in.grammarly.com
2620:149:149:1028::a	init.push.apple.com
54.73.155.55	internetcheck.fing.com
2606:4700:4400::6812:2755	ios.chat.openai.com
2606:4700:4400::ac40:94ab	ios.chat.openai.com.cdn.cloudflare.net
17.145.0.2	kt-prod.ess.apple.com
2a00:1450:4028:80a::2003	lctlvq-ad-in-x03.1e100.net
2a00:1450:4028:805::2005	mail.google.com
2a00:1450:4028:80a::2005	mail.google.com
2a02:26f7:b6:3:ace0:6ac7::	mask.icloud.com
224.0.0.251	mdns.mcast.net
52.6.53.6	mobile.launchdarkly.com
107.21.57.231	mobile.launchdarkly.com
18.207.68.144	mobile.launchdarkly.com
52.202.96.212	mobile.launchdarkly.com
52.22.19.85	mobile.launchdarkly.com
3.219.136.20	mobile.launchdarkly.com
3.224.157.225	mobile.launchdarkly.com
18.210.197.67	mobile.launchdarkly.com
17.8.155.249	musicstatus-apac-n.edge-itunes-apple.com.akadns.net
17.8.155.208	musicstatus-apac-n.edge-itunes-apple.com.akadns.net
2001:41a8:45:489::dc8	ocsp2.apple.com
1.1.1.1	one.one.one.one
2603:1046:c12:1401::2	ooc-g2.tm-4.office.com
2603:1046:c12:1400::2	ooc-g2.tm-4.office.com
2603:1046:c12:1003::2	outlook.office.com
142.250.75.170	photosdata-pa.googleapis.com
2a00:1450:4028:80a::200a	photosdata-pa.googleapis.com
2a00:1450:4028:805::200a	photosdata-pa.googleapis.com
2a00:1450:4028:800::200a	photosdata-pa.googleapis.com
2a00:1450:4028:804::200a	photosdata-pa.googleapis.com
2001:4860:4802:32::223	play.googleapis.com
2001:4860:4802:34::223	play.googleapis.com
2001:4860:4802:38::223	play.googleapis.com
2001:4860:4802:36::223	play.googleapis.com
2606:4700::6812:c6e	privacy-gateway.cloudflare.com
20.209.84.129	prodpluginsdatastrg.blob.core.windows.net
2a02:26f0:c000::213:33ba	proxy-safebrowsing.googleapis.com
35.157.63.228	ps.pndsn.com
35.157.63.229	ps.pndsn.com
35.157.63.227	ps.pndsn.com
2a04:4e42:200::223	pypi.org
2a04:4e42:600::223	pypi.org
2a04:4e42:400::223	pypi.org
45.223.139.100	register.waves.com
13.226.2.99	resources.jetbrains.com
2a00:1450:4028:80a::200e	safebrowsing.google.com
2a00:1450:4028:806::200a	safebrowsing.googleapis.com
13.226.2.52	server-13-226-2-52.tlv50.r.cloudfront.net
18.205.95.205	sirius.mwbsys.com
2600:1f18:465f:3606:695b:fca9:73a2:ebc7	sirius.mwbsys.com
2600:1f18:465f:360b:8f59:c6d6:970e:365c	sirius.mwbsys.com
2600:1f18:465f:360a:48d0:43d6:42c1:2cad	sirius.mwbsys.com
2a00:1450:4028:804::2003	ssl.gstatic.com
2606:4700::6810:516	surfaces-graphql.splice.com
2606:4700::6810:416	surfaces-graphql.splice.com
18.102.139.81	swallow.apple.com
2a01:b740:a26:2000::d2	tether.edge.apple
34.198.17.2	treatment.grammarly.com
142.250.75.35	tztlva-aa-in-f3.1e100.net
2a00:1450:4028:800::2005	tztlva-ac-in-x05.1e100.net
2a00:1450:4028:805::2003	update.googleapis.com
2a06:c700:2002:e::93eb:1408	valid.apple.com
104.22.52.212	vulners.com
172.67.39.118	vulners.com
2606:4700:4400::6812:2bcc	web-sandbox.oaiusercontent.com
2a03:2880:f242:1c2:face:b00c:0:167	web.whatsapp.com
2a03:2880:f33c:120:face:b00c:0:167	web.whatsapp.com
2a00:1450:400c:c04::bc	wk-in-f188.1e100.net
2a00:1450:400c:c00::bc	ws-in-f188.1e100.net
52.18.30.177	ww-hb.fing.io
52.209.13.233	ww-hb.fing.io
2600:9000:2024:f600:7:49a5:5fd4:b121	www.amazon.com
2600:9000:2024:9400:7:49a5:5fd4:b121	www.amazon.com
2600:9000:2024:de00:7:49a5:5fd4:b121	www.amazon.com
3.209.45.230	www.expressapisv2.net
2a03:2880:f33c:1:face:b00c:0:25de	www.facebook.com
2a03:2880:f142:182:face:b00c:0:25de	www.facebook.com
2a00:1450:4028:800::2004	www.google.com
2a00:1450:4028:804::2004	www.google.com
2a00:1450:4028:805::2004	www.google.com
65.9.112.20	www.jetbrains.com
65.9.112.59	www.jetbrains.com
65.9.112.88	www.jetbrains.com
65.9.112.116	www.jetbrains.com
2a05:d018:76c:b685:c898:aa3a:42c7:9d21	www.netflix.com
2a05:d018:76c:b684:8ab7:ac02:667b:e863	www.netflix.com
104.244.42.65	www.twitter.com
104.244.42.193	www.twitter.com
104.244.42.1	www.twitter.com
2a00:1450:4028:804::200e	www.youtube.com
142.250.75.46	youtube-ui.l.google.com
142.250.75.78	youtube-ui.l.google.com
2a00:1450:4028:800::200e	youtube-ui.l.google.com
